flight_id,seat_number,status
1,1A,AVAILABLE
1,1B,AVAILABLE
1,1C,AVAILABLE
1,1D,BOOKED
1,2A,AVAILABLE
1,2B,AVAILABLE
1,2C,AVAILABLE
1,2D,AVAILABLE
1,3A,AVAILABLE
1,3B,AVAILABLE
1,3C,AVAILABLE
1,3D,AVAILABLE
1,4A,AVAILABLE
1,4B,AVAILABLE
1,4C,AVAILABLE
1,4D,AVAILABLE
1,5A,AVAILABLE
1,5B,AVAILABLE
1,5C,AVAILABLE
1,5D,AVAILABLE
2,1A,AVAILABLE
2,1B,AVAILABLE
2,1C,AVAILABLE
2,1D,AVAILABLE
2,2A,AVAILABLE
2,2B,AVAILABLE
2,2C,BOOKED
2,2D,AVAILABLE
2,3A,AVAILABLE
2,3B,AVAILABLE
2,3C,AVAILABLE
2,3D,AVAILABLE
2,4A,AVAILABLE
2,4B,AVAILABLE
2,4C,AVAILABLE
2,4D,AVAILABLE
2,5A,AVAILABLE
2,5B,AVAILABLE
2,5C,AVAILABLE
2,5D,AVAILABLE
